NOMBRE,LINEA,lat,lng
Pantitlán-1,01,19.416334085596525,-99.07473572701159
Zaragoza,01,19.41192045593743,-99.0822888117768
Gomez Farías,01,19.416478456907367,-99.09021039171121
Boulevard Puerto Aéreo,01,19.419941964850207,-99.09625873241016
Balbuena,01,19.42335533557525,-99.10277436397425
Moctezuma,01,19.42685434666967,-99.10979926910476
San Lázaro-1,01,19.43005884961391,-99.11426095239393
Candelaria-1,01,19.42954014071058,-99.12090955005588
Merced,01,19.42548757157406,-99.12502541851761
Pino Suárez-1,01,19.425923495107927,-99.13263861199377
Isabel La Católica,01,19.42639351179822,-99.13783045646255
Salto del Agua-1,01,19.426948189741864,-99.14340629386963
Balderas-1,01,19.426997876088905,-99.14948115142849
Cuauhtémoc,01,19.4256611110838,-99.15459795134981
Insurgentes,01,19.423651800607303,-99.16328887947714
Sevilla,01,19.421849915921573,-99.17111907391485
Chapultepec,01,19.42074629504737,-99.17641673157046
Juanacatlán,01,19.4129516424911,-99.18198382947882
Tacubaya-1,01,19.40251380233993,-99.18763652631694
Observatorio,01,19.398282375699324,-99.20040474604608
Cuatro Caminos,02,19.459593208492073,-99.21584248969683
Panteones,02,19.458638560770133,-99.20294912952721
Tacuba-2,02,19.459376010718714,-99.18823093441412
Cuitláhuac,02,19.457253889739235,-99.18149576791224
Popotla,02,19.452909219801555,-99.17549381434115
Colegio Militar,02,19.449273554997184,-99.17177923331683
Normal,02,19.44455770552456,-99.16727403741045
San Cosme,02,19.441904254426483,-99.16066207280677
Revolución,02,19.439227179139703,-99.15422782571336
Hidalgo-2,02,19.43754674790357,-99.14722340551585
Bellas Artes-2,02,19.436377755896043,-99.14161363737124
Allende,02,19.43555800327121,-99.13686784023699
Zócalo/Tenochtitlan,02,19.432501910975944,-99.13225107327767
Pino Suárez-2,02,19.42438471172242,-99.13294182670589
San Antonio Abad,02,19.41602164706914,-99.13453987415669
Chabacano-2,02,19.40917986927759,-99.1356181172527
Viaducto,02,19.400868658018997,-99.13689959248839
Xola,02,19.395210509950374,-99.13780817932107
Villa de Cortés,02,19.38758177582601,-99.13895916622117
Nativitas,02,19.37953276091363,-99.14018788970765
